textual_id,longitude,latitude,content
adm_131053,NULL,NULL,"Herzogtum Lauenburg"
adm_131053,NULL,NULL,Lauenburg
object_191059,NULL,NULL,Obwalden
object_191054,NULL,NULL,Nidwalden
object_191061,NULL,NULL,Uri
object_191053,NULL,NULL,Glarus
object_191056,NULL,NULL,Neuenburg
object_191058,NULL,NULL,Schwyz
object_191070,NULL,NULL,Thurgau
object_191052,NULL,NULL,Zürich
object_191069,NULL,NULL,Graubünden
object_191065,NULL,NULL,Freiburg
object_191055,NULL,NULL,Zug
object_191066,NULL,NULL,Solothurn
object_191051,NULL,NULL,Bern
object_191076,NULL,NULL,Schaffhausen
object_191072,NULL,NULL,"St. Gallen"
object_191057,NULL,NULL,Wallis
object_191063,NULL,NULL,Luzern
object_191067,NULL,NULL,Tessin
object_191068,NULL,NULL,Aargau
object_191064,NULL,NULL,Waadt
object_191074,NULL,NULL,"Republik und Kanton Genf"
object_191074,NULL,NULL,Genf
object_191060,NULL,NULL,Basel-Landschaft
object_191062,NULL,NULL,Basel-Stadt
object_191075,NULL,NULL,"Appenzell Ausserrhoden"
object_191071,NULL,NULL,"Appenzell Innerrhoden"
object_220144,NULL,NULL,Clervaux
object_220143,NULL,NULL,Diekirch
object_220140,NULL,NULL,Redange
object_220148,NULL,NULL,Vianden
object_220138,NULL,NULL,Wiltz
object_1049789,NULL,NULL,Ebermannstadt
object_1049790,NULL,NULL,Ebern
object_1049791,NULL,NULL,Erlangen
object_1049793,NULL,NULL,"Gemünden am Main"
object_1049794,NULL,NULL,Hassfurt
object_1049795,NULL,NULL,Heilsbronn
object_1049796,NULL,NULL,Hemau
object_1049797,NULL,NULL,Hersbrück
object_1049798,NULL,NULL,"Höchstadt an der Aisch"
object_1049799,NULL,NULL,Karlstadt
object_1049800,NULL,NULL,Kemnath
object_1049801,NULL,NULL,Nabburg
object_1049802,NULL,NULL,Naila
object_1049803,NULL,NULL,"Neunburg vorm Wald"
object_1049804,NULL,NULL,"Neustadt am Main"
object_1049805,NULL,NULL,"Obernburg am Main"
object_1049806,NULL,NULL,Pegnitz
object_1049807,NULL,NULL,Rehau
object_1049808,NULL,NULL,Schwabach
object_1049809,NULL,NULL,Stadtamhof
object_1049810,NULL,NULL,Staffelstein
object_1049811,NULL,NULL,Sulzbach
object_1049812,NULL,NULL,Teuschnitz
object_1049813,NULL,NULL,Velburg
object_1049814,NULL,NULL,Vohenstrauß
object_1049815,NULL,NULL,Volkach
object_1049816,NULL,NULL,Waldmünchen
object_1049817,NULL,NULL,Werdenfels
object_1023469,NULL,NULL,Günzburg
object_1177091,NULL,NULL,Oberviechtach
object_190745,NULL,NULL,Tettnang
object_387985,NULL,NULL,Bückeburg-Arensburg
object_387985,NULL,NULL,Bückeburg
object_387985,NULL,NULL,Bückeburg
object_387986,NULL,NULL,Stadthagen
object_387986,NULL,NULL,Stadthagen
object_387986,NULL,NULL,Stadthagen-Hagenburg
BUCURGJO42MG,NULL,NULL,Bückeburg
STAGENJO42OH,NULL,NULL,Stadthagen
adm_145112,NULL,NULL,Bernburg
adm_145147,NULL,NULL,Zerbst
object_320538,NULL,NULL,Köthen
object_320537,NULL,NULL,Dessau
adm_145261,NULL,NULL,Ballenstedt
adm_134011,NULL,NULL,Bremen
object_265447,NULL,NULL,"Wittenbergischer Kreis"
object_265448,NULL,NULL,"Erzgebirgischer Kreis"
object_265449,NULL,NULL,"Leipziger Kreis"
object_265450,NULL,NULL,"Meißnische Kreis"
object_265452,NULL,NULL,"Vogtländischer Kreis"
object_190183,NULL,NULL,Sorau
adm_142019,NULL,NULL,Cottbus
adm_142026,NULL,NULL,Guben
adm_144011,NULL,NULL,Annaberg
adm_169771,NULL,NULL,Hoyerswerda
adm_169755,NULL,NULL,Rothenburg
adm_169755,NULL,NULL,"Rothenburg i./O.L."
adm_144037,NULL,NULL,Leipzig
adm_144016,NULL,NULL,Borna
adm_144049,NULL,NULL,Schwarzenberg
adm_144051,NULL,NULL,Stollberg
object_265453,NULL,NULL,"Neustädter Kreis"
adm_145242,NULL,NULL,Weißenfels
object_265451,NULL,NULL,"Thüringischer Kreis"
object_283618,NULL,NULL,Rüstringen
adm_133403,NULL,NULL,Oldenburg
adm_133458,NULL,NULL,Oldenburg
adm_133453,NULL,NULL,Cloppenburg
object_334829,NULL,NULL,Brake
object_352389,NULL,NULL,Butjadingen
object_352397,NULL,NULL,Varel
object_352400,NULL,NULL,Wildeshausen
object_384948,NULL,NULL,Varel
object_361642,NULL,NULL,Jever
object_352394,NULL,NULL,Jever
object_352513,NULL,NULL,Ratzeburg
object_333748,NULL,NULL,"Kabinettsamt Strelitz"
object_385807,NULL,NULL,Braunschweig
adm_133158,NULL,NULL,Wolfenbüttel
adm_133154,NULL,NULL,Helmstedt
object_283617,NULL,NULL,Gandersheim
adm_133255,NULL,NULL,Holzminden
adm_133153,NULL,NULL,Goslar
object_281943,NULL,NULL,Blankenburg
adm_146069,NULL,NULL,Hildburghausen
adm_146040,NULL,NULL,Sonneberg
adm_146028,NULL,NULL,Meiningen
adm_146033,NULL,NULL,Saalfeld
object_282470,NULL,NULL,Ostkreis
object_282471,NULL,NULL,"Verwaltungsbezirk Roda"
object_282471,NULL,NULL,Westkreis
object_282625,NULL,NULL,Roda
object_282626,NULL,NULL,Altenburg
object_282624,NULL,NULL,Ronneburg
object_386968,NULL,NULL,"Rostocker Distrikt"
object_320566,NULL,NULL,Gera
object_320567,NULL,NULL,Schleiz
object_320568,NULL,NULL,Greiz
object_280130,NULL,NULL,Bingen
object_282175,NULL,NULL,Alzey
adm_137315,NULL,NULL,Mainz
object_280062,NULL,NULL,Meisenheim
object_1082000,NULL,NULL,Dieburg
object_282627,NULL,NULL,Büdingen
object_292395,NULL,NULL,Friedberg
object_292398,NULL,NULL,Lauterbach
adm_136411,NULL,NULL,Darmstadt
adm_136437,NULL,NULL,Erbach
adm_136433,NULL,NULL,Groß-Gerau
adm_136438,NULL,NULL,Offenbach
adm_136531,NULL,NULL,Gießen
object_282628,NULL,NULL,Alsfeld
adm_137319,NULL,NULL,Worms
object_1199845,NULL,NULL,"Stadtdirektion Stuttgart"
object_190769,NULL,NULL,Aalen
object_190760,NULL,NULL,Gerabronn
object_190788,NULL,NULL,Crailsheim
object_190761,NULL,NULL,Ellwangen
object_190753,NULL,NULL,Gaildorf
object_190787,NULL,NULL,Gmünd
object_190776,NULL,NULL,Hall
object_190791,NULL,NULL,Mergentheim
object_190796,NULL,NULL,Neresheim
object_190759,NULL,NULL,Öhringen
object_190793,NULL,NULL,Künzelsau
object_190786,NULL,NULL,Oberndorf
object_190732,NULL,NULL,Reutlingen
object_190737,NULL,NULL,Rottenburg
object_190754,NULL,NULL,Nagold
object_190755,NULL,NULL,Calw
object_190775,NULL,NULL,Neuenbürg
object_306575,NULL,NULL,Horb
object_190757,NULL,NULL,Welzheim
object_190792,NULL,NULL,Backnang
object_190794,NULL,NULL,Balingen
object_190728,NULL,NULL,Besigheim
object_190736,NULL,NULL,Blaubeuren
