,x,y,id
0,10.2333,53.7806,adm_131053
1,10.2397,53.7828,adm_131053
2,10.2706,53.7778,adm_131053
3,10.2839,53.7644,adm_131053
4,10.4011,53.7347,adm_131053
5,10.45,53.75,adm_131053
6,10.418,53.89,adm_131053
7,10.4833,53.7667,adm_131053
8,10.5667,53.8,adm_131053
9,10.5861,53.8056,adm_131053
10,10.623,53.802,adm_131053
11,10.65,53.78,adm_131053
12,10.7214,53.7942,adm_131053
13,10.7308,53.799,adm_131053
14,10.7504,53.8015,adm_131053
15,10.7708,53.7969,adm_131053
16,10.7706,53.7906,adm_131053
17,10.8098,53.7161,adm_131053
18,10.8328,53.7081,adm_131053
19,10.8833,53.6833,adm_131053
20,10.9244,53.7192,adm_131053
21,10.9383,53.7256,adm_131053
22,10.9675,53.6947,adm_131053
23,10.9786,53.6192,adm_131053
24,10.9786,53.5908,adm_131053
25,10.9653,53.5747,adm_131053
26,10.8908,53.58,adm_131053
27,10.8583,53.5742,adm_131053
28,10.7922,53.5406,adm_131053
29,10.783,53.523,adm_131053
30,10.7314,53.4864,adm_131053
31,10.6667,53.4833,adm_131053
32,10.6264,53.445,adm_131053
33,10.6,53.3833,adm_131053
34,10.5536,53.3708,adm_131053
35,10.4942,53.3806,adm_131053
36,10.43,53.403,adm_131053
37,10.4056,53.4153,adm_131053
38,10.37,53.43,adm_131053
39,10.3103,53.4439,adm_131053
40,10.27,53.471,adm_131053
41,10.25,53.5,adm_131053
42,10.302,53.526,adm_131053
43,10.32,53.53,adm_131053
44,10.3878,53.5719,adm_131053
45,10.40046,53.58695,adm_131053
46,10.4097,53.671,adm_131053
47,10.2764,53.7556,adm_131053
48,10.2614,53.7536,adm_131053
49,10.2503,53.76,adm_131053
50,10.2333,53.7806,adm_131053
51,8.1667,46.8,object_191059
52,8.1833,46.8333,object_191059
53,8.2333,46.9,object_191059
54,8.2667,46.95,object_191059
55,8.63,47.7,object_191059
56,8.277,46.955,object_191059
57,8.41667,46.8333,object_191059
58,8.2833,46.9,object_191059
59,8.2333,46.8667,object_191059
60,8.1667,46.8,object_191059
61,8.3101,46.983,object_191054
62,8.3269,46.9504,object_191054
63,8.3833,46.9167,object_191054
64,8.4,46.91667,object_191054
65,8.4667,46.9667,object_191054
66,8.5167,46.9667,object_191054
67,8.404,46.995,object_191054
68,8.333,46.9833,object_191054
69,8.3101,46.983,object_191054
70,8.5,46.6,object_191061
71,8.5833,46.6667,object_191061
72,8.6,46.7,object_191061
73,8.6333,46.8167,object_191061
74,8.6167,46.8667,object_191061
75,8.55,46.9167,object_191061
76,8.5833,46.9667,object_191061
77,8.6167,46.95,object_191061
78,8.65,46.8833,object_191061
79,8.6715,46.8768,object_191061
80,8.7333,46.8833,object_191061
81,8.7667,46.8667,object_191061
82,8.6667,46.7833,object_191061
83,8.6333,46.75,object_191061
84,8.6,46.6333,object_191061
85,8.5667,46.6167,object_191061
86,8.5,46.6,object_191061
87,8.9833,46.9333,object_191053
88,9.04,46.98,object_191053
89,9.05,47.05,object_191053
90,9.05,47.1167,object_191053
91,9.0167,47.15,object_191053
92,9.0584,47.1159,object_191053
93,9.1167,47.1167,object_191053
94,9.15,47.1167,object_191053
95,9.1667,47.1167,object_191053
96,9.15,46.9833,object_191053
97,9.1667,46.9667,object_191053
98,9.1667,46.9167,object_191053
99,9.0833,46.9833,object_191053
100,9.05,46.9167,object_191053
101,8.9937,46.9153,object_191053
102,8.9833,46.9333,object_191053
103,6.4666667,46.9,object_191056
104,6.4833333,46.8666667,object_191056
105,6.55,46.8833333,object_191056
106,6.5833333,46.9,object_191056
107,6.6333333,46.9166667,object_191056
108,6.6833333,46.9333333,object_191056
109,6.7666667,46.9,object_191056
110,6.9,46.0166667,object_191056
111,7.1,46.75,object_191056
112,6.85,46.9333333,object_191056
113,6.8833333,46.9833333,object_191056
114,6.9666667,47.0,object_191056
115,7.03333,47.0,object_191056
116,7.0666667,47.05,object_191056
117,7.0666667,47.0833333,object_191056
118,6.9833333,47.1,object_191056
119,6.9333333,47.0666667,object_191056
120,6.9,47.0666667,object_191056
121,6.85,47.1333333,object_191056
122,6.8833333,47.05,object_191056
123,6.85,47.0333333,object_191056
124,6.8,47.05,object_191056
125,6.75,47.0666667,object_191056
126,6.7,47.0666667,object_191056
127,6.7333333,47.0,object_191056
128,6.6,46.9833333,object_191056
129,6.6,46.9166667,object_191056
130,6.5166667,46.9166667,object_191056
131,6.4666667,46.9,object_191056
132,8.4333333,47.0833333,object_191058
133,8.5333333,46.9833333,object_191058
134,8.605,46.996,object_191058
135,8.6333333,46.9833333,object_191058
136,8.6666667,46.95,object_191058
137,8.7333333,46.9833333,object_191058
138,8.7666667,46.9666667,object_191058
139,8.7833333,47.0333333,object_191058
140,8.7833333,47.05,object_191058
141,8.75,47.1166667,object_191058
142,8.8166667,47.1833333,object_191058
143,8.8833333,47.1166667,object_191058
144,8.9166667,47.1,object_191058
145,8.9333333,47.1666667,object_191058
146,8.9833333,47.1666667,object_191058
147,8.9333333,47.2,object_191058
148,8.85,47.1833333,object_191058
149,8.75,47.2,object_191058
150,8.7,47.1833333,object_191058
151,8.6833333,47.1,object_191058
152,8.6333333,47.0833333,object_191058
153,8.5833333,47.05,object_191058
154,8.5166667,47.0666667,object_191058
155,8.4333333,47.0833333,object_191058
156,8.67,47.68,object_191070
157,8.68,47.65,object_191070
158,8.7,47.65,object_191070
159,8.7688,47.606,object_191070
160,8.77975,47.5963,object_191070
161,8.81667,47.5833,object_191070
162,8.85,47.5333333,object_191070
163,8.9,47.4833333,object_191070
164,8.93,47.45,object_191070
165,8.9666667,47.4166667,object_191070
166,9.0,47.45,object_191070
167,9.0,47.4667,object_191070
168,9.0333333,47.5166667,object_191070
169,9.1,47.4833,object_191070
170,9.1333333,47.5166667,object_191070
171,9.1833333,47.5333333,object_191070
172,9.2,47.5333,object_191070
173,9.25,47.5167,object_191070
174,9.28333,47.4667,object_191070
175,9.4666667,47.4833333,object_191070
176,9.7,47.65,object_191070
177,9.4333333,47.5166667,object_191070
178,9.3833333,47.5666667,object_191070
179,9.3333333,47.5833333,object_191070
180,9.2833333,47.6,object_191070
181,9.22,47.63,object_191070
182,9.17,47.65,object_191070
183,9.13,47.65,object_191070
184,9.08,47.67,object_191070
185,9.05,47.67,object_191070
186,9.02,47.67,object_191070
187,8.95,47.65,object_191070
188,8.87,47.65,object_191070
189,8.8,47.68,object_191070
190,8.75,47.68,object_191070
191,8.67,47.68,object_191070
192,8.3667,47.5167,object_191052
193,8.4376,47.5564,object_191052
194,8.48,47.6,object_191052
195,8.4833,47.6,object_191052
196,8.5,47.6,object_191052
197,8.52,47.6,object_191052
198,8.53,47.6,object_191052
199,8.6,47.62,object_191052
200,8.61,47.65,object_191052
201,8.62,47.67,object_191052
202,8.63,47.68,object_191052
203,8.65,47.68,object_191052
