# comment line	
# # # # # special cases	
V. St. A.	United States of America
U. S. A.	United States of America
U. St. A.	United States of America
Verein.	United
V. St.	United States
United St.	United States
Ver.	United
Staaten	States
N.-A.	Nordamerika
M.-A.	Nordamerika
v. Nord-Amerika	of America
v. Amerika	of America
v. Nordamerika	of America
M. W. B.	Main-Weser-Bahn
O. E.	Ober-Elsaß
	
# # # # # administration (departments)	
O.-A.	Oberamt
O.-A	Oberamt
Amtsh.	Amtshauptmannschaft
A. H.	Amtshauptmannschaft
A.-H.	Amtshauptmannschaft
B.-A.	 
	
# # # # # types (administration and others)	
Abt.	Abtei
Abb.	Abbau
Ab.	Abbau
Altm.	Altmark
	
Bez.	Bezirk
	
Chât.	Château
Chat.	Château
Ch.-Salins	Château-Salins
	
Fstt.	Fürstentum
Fürst.	Fürstentum
Frstt.	Fürstentum
Fürstt.	Fürstentum
Fürstent.	Fürstentum
	
Grfschft.	Grafschaf
Gem.	Gemeinde
Grfsch.	Grafschaft
Grafsch.	Grafschaft
Gouv.	Gouvernement
Gde.	Gemeinde
Großh.	Großherzogtum
Großherz.	Großherzogtum
Gebirgskr.	Gebirgskreis
Gbgks.	Gebirgskreis
Gutbez.	Gutbezirk
	
Hzt.	Herzogtum
Herzogt.	Herzogtum
Herzgt.	Herzogtum
Herz.	Herzogtum
Hzgtm.	Herzogtum
Hzgt.	Herzogtum
	
Königr.	Königreich
Kgr.	Königreich
Kr.	Kreis
Krs.	Kreis
Kol.	Kolonie
Kolon.	Kolonie
	
Landkr.	Landkreis
	
N. M.	Neumark
N.-M.	Neumark
Neum.	Neumark
Nm.	Neumark
Nied.	Nieder
	
Prov.	Provinz
	
Reg-Bez.	Regierungsbezirk
Reg.-Bez.	Regierungsbezirk
Reg.-Bezirk	Regierungsbezirk
	
St.	Sankt
Skt.	Sankt
	
Vorw.	Vorwerk
Vw.	Vorwerk
	
# # # # # attributes (regional and aristocratic)	
Adl.	Adlig
Adel.	Adlig
Ad.	Adlig
Adlg.	Adlig
Adr.	Adlig
	
Berg.	Bergisch
B. Gladbach	Bergisch Gladbach
	
Dt.-	Deutsch 
Dt.	Deutsch 
Dtsch.-	Deutsch 
Dtsch.	Deutsch 
	
Fürstl.	Fürstlich
Franz.-	Französisch 
Franz.	Französisch
Fr.-	Französisch 
Fr.	Französisch
	
Gräfl.	Gräflich
	
Mansf.	Mansfelder
Mansfeld.	Mansfelder
Mansfld.	Mansfelder
	
Kgl.	Königlich
Königl.	Königlich
Kth.	Katholisch
Kt.	Katholisch
Kathol.	Katholisch
Kathl.	Katholisch
Kirchl.	Kirchlich
	
Pr.-	Preußisch 
Preuß.-	Preußisch 
Preuß. 	Preußisch
Poln.-	Polnisch 
Poln. 	Polnisch
Polln. 	Polnisch
	
Russ.	Russisch
Ruß.	Russisch
	
Sächs.	Sächsisch
Städt.	Städtisch
	
Wend.	Wendisch
	
# # # # # general expansions	
Altenb.	Altenburg
Altbg.	Altenburg
Altb.	Altenburg
	
Braunschw.	Braunschweig
Brl.	Berlin
Böhm.	Böhmen
Bay.	Bayern
Bayer.	Bayern
Breisg.	Breisgau
Brsg.	Breisgau
Bad.	Baden
Beesk.	Beeskow
	
Co.-Go.	Coburg-Gotha
Cob.-Go.	Coburg-Gotha
	
Danz.	Danzig
Dzg.	Danziger
Detm.	Detmold
Dresden-N.	Dresden-Neustadt
	
Els.	Elsaß
Engl.	England
Erzgeb.	Erzgebirge
Erzg.	Erzgebirge
Erzgb.	Erzgebirge
	
Geb.	Gebirgs
	
Hann.	Hannover
Hannov.	Hannover
Hess.	Hessen
Hohenzoll.	Hohenzollern
Holst.	Holstein
	
Kaisersl.	Kaiserslautern
Königsb.	Königsberg
Köllm.	Köllmisch
	
Lauenb.	Lauenburg
Lbg.	Lauenburg
Lothr.	Lothringen
Loth.	Lothringen
Laus.	Lausitz
	
Mähr.	Mährisch
Mckl.	Mecklenburg
Mecklenb.	Mecklenburg
Meckl.	Mecklenburg
Mecklb.	Mecklenburg
M.-Gladbach	Mönchengladbach
M.-Gl.	Mönchengladbach
M. Gladbach	Mönchengladbach
Mkt. Oberdorf	Marktoberdorf
Mülh.	Mülheim
	
Nass.	Nassau
Ndb.	Niederbayern
Niederb.	Niederbayern
NIederb.	Niederbayern
Niedrg.	Niederung
Niederg.	Niederung
Nieder.	Niederung
Neuhaldensl.	Neuhaldensleben
	
Oberb.	Oberbayern
Oesterr.	Österreich
Osterr.	Österreich
Österr.	Österreich
Oldenb.	Oldenburg
Oldenbg.	Oldenburg
Oldbg.	Oldenburg
Oldb.	Oldenburg
Odenw.	Odenwald
O. S.	Oberschlesien
O.-S.	Oberschlesien
O. Schlesien	Oberschlesien
O.-Schlesien	Oberschlesien
OS.	Oberschlesien
Oberschl.	Oberschlesien
O.-L.	Oberlausitzkreis
O. L.	Oberlausitzkreis
	
Preuß.	Preußen
Pomm.	Pommern
Pom.	Pommern
Pos.	Posen
Pol.	Polen
	
Rheinl.	Rheinland
Rhld.	Rheinland
Rhnl.	Rheinland
Rußl.	Russland
Rußld.	Russland
Rud.	Rudolstadt
	
Schwieb.	Schwiebus
Schaumb.	Schaumburg
Schwab.	Schwaben
Sa.-Cob.	Sachsen-Coburg
Saarbr.	Saarbrücken
Schwarzb.	Schwarzburg
Schl.	Schlesien
Schles.	Schlesien
Schlesien.	Niederschlesien
Sach.	Sachsen
Sa.-Weimar	Sachsen-Weimar
Sa. Weimar	Sachsen-Weimar
Sachs.	Sachsen
Sa-A.	Sachsen-Anhalt
S-A.	Sachsen-Anhalt
Sachsen-Anh.	Sachsen-Anhalt
Sachsen-A.	Sachsen-Anhalt
S.-A.	Sachsen-Anhalt
Sa.-Meiningen	Sachsen-Meiningen
S.-Meiningen	Sachsen-Meiningen
S.-M.	Sachsen-Meiningen
Sachsen M.	Sachsen-Meiningen
Sachsen-Mein.	Sachsen-Meiningen
Sachsen Mein.	Sachsen-Meiningen
Sa.-M.	Sachsen-Meiningen
S. M.	Sachsen-Meiningen
S. Weimar E.	Sachsen-Weimar-Eisenach
S.-Weimar-E.	Sachsen-Weimar-Eisenach
S.-W.-E.	Sachsen-Weimar-Eisenach
Saalkr.	Saalekreis
Saalkrs.	Saalekreis
Süd. Dithm.	Süderdithmarschen
Sondersh.	Sondershausen
Sondershaus.	Sondershausen
Sond.	Sondershausen
S. Dithmarschen	Süderdithmarschen
Sd.-Dithm.	Süderdithmarschen
Süderdithmarsch.	Süderdithmarschen
Schaumburg-L.	Schaumburg-Lippe
Sch.-Lippe	Schaumburg-Lippe
Schlesw.	Schleswig
Strel.	Strelitz
Schw.	Schwerin
Schwer.	Schwerin
Schwäb.	Schwäbisch
Stork.	Storkow
	
Thr.	Thüringen
Thür.	Thüringen
	
Ung.	Ungarn
U. Westerwald	Unterwesterwald
	
