# # # eindeutige Ortsersetzungen;
Ad.;Adelig
Adl.;Adelig
Adlg.;Adelig
Adel.;Adelig
Anh.;Anhalt
Altb.;Altenburg
Altbg.;Altenburg
Altenb.;Altenburg
Altenbg.;Altenburg
Arnsb.;Arnsberg
Arnsbg.;Arnsberg
Berg.;Bergisch
Berg. Gladb.;Bergisch Gladbach
Berg. Gladbach;Bergisch Gladbach
B. Gladb.;Bergisch Gladbach
B. Gladbach;Bergisch Gladbach
Brschwg.;Braunschweig
Braunschw.;Braunschweig
Braunschwg.;Braunschweig
Brdbg.;Brandenburg
Brandb.;Brandenburg
Brandbg.;Brandenburg
Brandenb.;Brandenburg
Brandenbg.;Brandenburg
Brl.;Berlin
Bln.;Berlin
BÃ¶hm.;BÃ¶hmen
Bay.;Bayern
Bayr.;Bayern
Bayer.;Bayern
Brsg.;Breisgau
Breis.;Breisgau
Breisg.;Breisgau
Bd.;Bad
Bad.;Baden
Beesk.;Beeskow
Bf.;Bahnhof
Bhf.;Bahnhof
ChÃ¢t.;ChÃ¢teau
Chat.;ChÃ¢teau
Ch.-Salins;ChÃ¢teau-Salins
C.-G.;Coburg-Gotha
Co.-G.;Coburg-Gotha
Co.-Go.;Coburg-Gotha
Cob.-Go.;Coburg-Gotha
Co.-Gotha;Coburg-Gotha
Cob.-Gotha;Coburg-Gotha
Cob.;Coburg
Cobg.;Coburg
Dzg.;Danzig
Danz.;Danzig
Danzg.;Danzig
Darmst.;Darmstadt
Detm.;Detmold
Dillkr.;Dillkreis
Diedenh.;Diedenhofen
Dithm.;Dithmarschen
Dresden-N.;Dresden-Neustadt
Dresden-A.;Dresden-Altstadt
Donaukr.;Donaukreis
Dortm.;Dortmund
DÃ¼sseld.;DÃ¼sseldorf
Eis.;Eisenach
Eisen.;Eisenach
Els.;ElsaÃŸ
Erzg.;Erzgebirge
Erzgb.;Erzgebirge
Erzgeb.;Erzgebirge
Flensb.;Flensburg
Flensbg.;Flensburg
Frankf.;Frankfurt
Fehm.;Fehmarn
Gelsenk.;Gelsenkirchen
Gr.;GroÃŸ
Geb.;Gebirgskreis
Gebirgskr.;Gebirgskreis
Goarsh.;Goarshausen
Goldb.;Goldberg
Goldbg.;Goldberg
Halberst.;Halberstadt
Han.;Hannover
Hann.;Hannover
Hannov.;Hannover
Hvld.;Havelland
Havell.;Havelland
Heppenh.;Heppenheim
Hess.;Hessen
Hildburgh.;Hildburghausen
Hohenz.;Hohenzollern
Hohenzoll.;Hohenzollern
Holst.;Holstein
JÃ¼terb.;JÃ¼terbog
Jagstkr.;Jagstkreis
Kaisersl.;Kaiserslautern
KÃ¶nigsb.;KÃ¶nigsberg
KÃ¶nigsbg.;KÃ¶nigsberg
KÃ¶llm.;KÃ¶llmisch
Kolb.;Kolberg
Kolbg.;Kolberg
Kyffh.;KyffhÃ¤user
Kl.;Klein
Lbg.;Lauenburg
Lauenb.;Lauenburg
Lauenbg.;Lauenburg
Loth.;Lothringen
Lothr.;Lothringen
Laus.;Lausitz
Lahnkr.;Lahnkreis
Luckenw.;Luckenwalde
LÃ¼dingh.;LÃ¼dinghausen
M. W. B.;Main-Weser-Bahn
MÃ¤hr.;MÃ¤hrisch
MÃ¤rk.;MÃ¤rkisch
Mansf.;Mansfelder
Mansfld.;Mansfelder
Mansfeld.;Mansfelder
Magdeb.;Magdeburg
Magdebg.;Magdeburg
Marienb.;Marienburg
Marienbg.;Marienburg
Merseb.;Merseburg
Mersebg.;Merseburg
Mekl.;Mecklenburg
Mckl.;Mecklenburg
Meckl.;Mecklenburg
Mcklb.;Mecklenburg
Mcklbg.;Mecklenburg
